timestamp,button 1,raw EMG 0,raw EMG 1,bandpass EMG 0,bandpass EMG 1,bandpass EMG envelope 0,bandpass EMG envelope 1,elapsed Time (ms),button 0
1722037288,0,-1.45,-0.27,-0.15,0.18,0.04,0.11,4257039,0
1722037288,0,-0.45,-0.27,0.31,0.13,0.04,0.11,4257057,0
1722037288,0,-0.45,0.73,0.29,0.47,0.04,0.11,4257074,0
1722037288,0,-0.45,0.73,0.2,0.38,0.04,0.11,4257091,0
1722037288,0,-0.45,0.73,0.12,0.25,0.04,0.11,4257109,0
1722037288,0,-0.45,0.73,0.07,0.15,0.04,0.1,4257126,0
1722037288,0,-0.45,-0.27,0.04,-0.31,0.04,0.1,4257144,0
1722037288,0,0.55,-1.27,0.42,-0.68,0.04,0.1,4257161,0
1722037288,0,0.55,-1.27,0.35,-0.53,0.04,0.1,4257178,0
1722037288,0,0.55,-0.27,0.23,0.05,0.04,0.1,4257196,0
1722037288,0,0.55,-0.27,0.14,0.13,0.04,0.1,4257213,0
1722037288,0,0.55,-1.27,0.08,-0.29,0.04,0.1,4257231,0
1722037288,0,0.55,-0.27,0.05,0.12,0.04,0.1,4257247,0
1722037288,0,0.55,-1.27,0.03,-0.24,0.04,0.1,4257265,0
1722037288,0,0.55,-1.27,0.01,-0.23,0.04,0.1,4257283,0
1722037288,0,-0.45,-2.27,-0.38,-0.55,0.04,0.1,4257300,0
1722037288,0,-0.45,-2.27,-0.33,-0.43,0.04,0.1,4257318,0
1722037288,0,-0.45,-2.27,-0.22,-0.28,0.04,0.1,4257335,0
1722037288,0,-0.45,-2.27,-0.13,-0.17,0.04,0.1,4257352,0
1722037288,0,-1.45,-3.27,-0.47,-0.49,0.04,0.1,4257370,0
1722037288,0,-1.45,-1.27,-0.38,0.39,0.04,0.1,4257388,0
1722037288,0,-1.45,-1.27,-0.25,0.42,0.04,0.1,4257406,0
1722037288,0,-0.45,-0.27,0.24,0.69,0.04,0.1,4257423,0
1722037288,0,-0.45,-0.27,0.25,0.52,0.04,0.1,4257441,0
1722037288,0,-0.45,0.73,0.17,0.72,0.04,0.1,4257458,0
1722037288,0,0.55,0.73,0.5,0.53,0.04,0.11,4257474,0
1722037288,0,0.55,0.73,0.4,0.34,0.04,0.11,4257492,0
1722037288,0,0.55,2.73,0.26,0.99,0.04,0.11,4257509,0
1722037288,0,0.55,2.73,0.16,0.79,0.04,0.11,4257527,0
