timestamp,raw EMG 0,raw EMG 1,bandpass EMG 0,bandpass EMG 1,bandpass EMG envelope 0,bandpass EMG envelope 1,elapsed Time (ms),button 0,button 1
1722038252,-0.45,-1.27,-0.8,-0.14,0.15,0.14,5221550,0,0
1722038252,-1.45,-1.27,-0.6,-0.08,0.15,0.14,5221568,0,0
1722038252,-0.45,-2.27,-0.78,-0.44,0.15,0.14,5221586,0,0
1722038252,-1.45,-2.27,-0.17,-0.36,0.15,0.14,5221603,0,0
1722038252,-1.45,-2.27,-0.41,-0.24,0.15,0.13,5221621,0,0
1722038252,-1.45,-2.27,-0.32,-0.14,0.15,0.13,5221638,0,0
1722038252,-1.45,-2.27,-0.21,-0.08,0.15,0.13,5221656,0,0
1722038252,-0.45,-1.27,-0.13,0.35,0.15,0.13,5221674,0,0
1722038252,-0.45,-1.27,0.32,0.31,0.15,0.13,5221691,0,0
1722038252,-0.45,-1.27,0.3,0.21,0.15,0.13,5221709,0,0
1722038253,-0.45,-0.27,0.2,0.52,0.15,0.13,5221726,0,0
1722038253,-0.45,-1.27,0.12,0.02,0.15,0.13,5221743,0,0
1722038253,0.55,-0.27,0.07,0.32,0.15,0.12,5221761,0,0
1722038253,-1.45,-0.27,0.43,0.27,0.14,0.12,5221778,0,0
1722038253,-0.45,-0.27,-0.43,0.18,0.14,0.12,5221796,0,0
1722038253,-0.45,0.73,-0.04,0.5,0.14,0.12,5221813,0,0
1722038253,0.55,0.73,0.03,0.4,0.14,0.12,5221830,0,0
1722038253,0.55,0.73,0.43,0.26,0.14,0.12,5221848,0,0
1722038253,0.55,1.73,0.36,0.55,0.14,0.12,5221864,0,0
1722038253,1.55,0.73,0.24,0.03,0.13,0.12,5221882,0,0
1722038253,0.55,0.73,0.54,-0.06,0.13,0.12,5221899,0,0
1722038253,0.55,0.73,0.03,-0.06,0.13,0.12,5221916,0,0
1722038253,0.55,1.73,-0.07,0.35,0.13,0.12,5221934,0,0
1722038253,0.55,0.73,-0.06,-0.08,0.13,0.12,5221951,0,0
1722038253,0.55,0.73,-0.04,-0.13,0.13,0.12,5221969,0,0
1722038253,0.55,1.73,-0.03,0.3,0.13,0.11,5221986,0,0
1722038253,-0.45,3.73,-0.01,1.06,0.12,0.11,5222003,0,0
1722038253,-1.45,4.73,-0.4,1.26,0.12,0.11,5222021,0,0
1722038253,-1.45,4.73,-0.74,0.9,0.12,0.12,5222038,0,0
1722038253,-1.45,4.73,-0.56,0.56,0.12,0.12,5222056,0,0
1722038253,-1.45,3.73,-0.36,-0.06,0.12,0.12,5222073,0,0
1722038253,-0.45,3.73,-0.22,-0.15,0.12,0.12,5222091,0,0
1722038253,0.55,2.73,0.27,-0.51,0.12,0.12,5222108,0,0
1722038253,0.55,2.73,0.66,-0.41,0.12,0.12,5222125,0,0
1722038253,0.55,1.73,0.52,-0.66,0.12,0.13,5222143,0,0
1722038253,1.55,0.73,0.34,-0.89,0.12,0.13,5222160,0,0
1722038253,1.55,0.73,0.6,-0.66,0.12,0.13,5222178,0,0
1722038253,2.55,0.73,0.45,-0.41,0.12,0.13,5222195,0,0
1722038253,2.55,-0.27,0.68,-0.64,0.12,0.14,5222212,0,0
1722038253,2.55,-0.27,0.51,-0.48,0.12,0.14,5222230,0,0
1722038253,2.55,-0.27,0.32,-0.3,0.12,0.14,5222247,0,0
1722038253,1.55,-0.27,0.19,-0.18,0.12,0.14,5222265,0,0
1722038253,1.55,-1.27,-0.28,-0.5,0.13,0.14,5222282,0,0
1722038253,1.55,-1.27,-0.27,-0.4,0.13,0.14,5222299,0,0
1722038253,1.55,-2.27,-0.19,-0.65,0.13,0.14,5222317,0,0
1722038253,0.55,-2.27,-0.12,-0.49,0.13,0.15,5222334,0,0
1722038253,-1.45,-2.27,-0.46,-0.31,0.13,0.15,5222352,0,0
1722038253,-2.45,-2.27,-1.16,-0.19,0.13,0.15,5222370,0,0
1722038253,-1.45,-2.27,-1.31,-0.11,0.13,0.15,5222387,0,0
1722038253,-1.45,-2.27,-0.54,-0.06,0.13,0.15,5222405,0,0
1722038253,-0.45,-1.27,-0.24,0.36,0.13,0.14,5222422,0,0
1722038253,0.55,-1.27,0.27,0.32,0.13,0.14,5222440,0,0
1722038253,1.55,-1.27,0.67,0.21,0.14,0.14,5222457,0,0
1722038253,1.55,-1.27,0.92,0.13,0.14,0.14,5222475,0,0
1722038253,1.55,-0.27,0.68,0.47,0.14,0.14,5222492,0,0
1722038253,1.55,-0.27,0.43,0.38,0.14,0.14,5222509,0,0
1722038253,1.55,-1.27,0.25,-0.14,0.15,0.14,5222527,0,0
1722038253,1.55,-1.27,0.15,-0.19,0.15,0.14,5222544,0,0
1722038253,0.55,-1.27,0.08,-0.14,0.15,0.14,5222562,0,0
1722038253,0.55,-0.27,-0.35,0.31,0.15,0.13,5222579,0,0
1722038253,1.55,-1.27,-0.31,-0.11,0.15,0.13,5222596,0,0
1722038253,1.55,-0.27,0.18,0.25,0.15,0.13,5222614,0,0
1722038253,1.55,-0.27,0.21,0.23,0.15,0.13,5222631,0,0
1722038253,0.55,-0.27,0.15,0.16,0.15,0.13,5222649,0,0
1722038253,0.55,-0.27,-0.3,0.1,0.15,0.13,5222666,0,0
1722038253,0.55,-0.27,-0.28,0.06,0.15,0.12,5222683,0,0
1722038253,0.55,-0.27,-0.19,0.03,0.14,0.12,5222701,0,0
1722038254,-0.45,-0.27,-0.12,0.02,0.14,0.12,5222718,0,0
1722038254,-0.45,-0.27,-0.46,0.01,0.14,0.12,5222736,0,0
1722038254,-1.45,-0.27,-0.38,0.01,0.14,0.12,5222753,0,0
1722038254,-1.45,-0.27,-0.64,0,0.14,0.11,5222770,0,0
1722038254,-2.45,-0.27,-0.49,0,0.14,0.11,5222788,0,0
1722038254,-2.45,-1.27,-0.7,-0.39,0.14,0.11,5222805,0,0
1722038254,-2.45,-0.27,-0.52,0.06,0.14,0.1,5222824,0,0
1722038254,-1.45,-0.27,-0.33,0.11,0.14,0.1,5222841,0,0
1722038254,-2.45,-0.27,0.2,0.09,0.14,0.1,5222859,0,0
1722038254,-1.45,0.73,-0.17,0.45,0.14,0.1,5222876,0,0
1722038254,-0.45,-0.27,0.22,-0.02,0.14,0.1,5222893,0,0
1722038254,0.55,0.73,0.61,0.3,0.14,0.09,5222911,0,0
1722038254,0.55,0.73,0.88,0.26,0.14,0.09,5222928,0,0
1722038254,0.55,0.73,0.65,0.17,0.14,0.09,5222945,0,0
1722038254,1.55,0.73,0.41,0.11,0.14,0.09,5222962,0,0
1722038254,1.55,-0.27,0.64,-0.33,0.14,0.09,5222979,0,0
1722038254,1.55,-0.27,0.48,-0.3,0.14,0.09,5222997,0,0
1722038254,1.55,-0.27,0.3,-0.2,0.15,0.09,5223014,0,0
1722038254,1.55,-0.27,0.18,-0.12,0.15,0.09,5223032,0,0
1722038254,2.55,-0.27,0.1,-0.07,0.15,0.09,5223049,0,0
1722038254,1.55,-0.27,0.45,-0.04,0.15,0.09,5223066,0,0
1722038254,0.55,-0.27,-0.02,-0.02,0.15,0.08,5223085,0,0
1722038254,-0.45,0.73,-0.49,0.38,0.15,0.08,5223101,0,0
1722038254,-0.45,-0.27,-0.81,-0.06,0.15,0.08,5223120,0,0
1722038254,-1.45,-0.27,-0.61,-0.12,0.15,0.08,5223137,0,0
1722038254,-1.45,0.73,-0.78,0.3,0.15,0.08,5223154,0,0
1722038254,-2.45,0.73,-0.57,0.28,0.15,0.08,5223172,0,0
1722038254,-2.45,0.73,-0.75,0.19,0.15,0.08,5223189,0,0
1722038254,-2.45,1.73,-0.55,0.51,0.15,0.08,5223207,0,0
1722038254,-1.45,1.73,-0.35,0.41,0.15,0.08,5223224,0,0
1722038254,-1.45,0.73,0.19,-0.13,0.16,0.08,5223241,0,0
1722038254,-0.45,0.73,0.22,-0.18,0.16,0.08,5223259,0,0
1722038254,-0.45,0.73,0.55,-0.13,0.16,0.08,5223276,0,0
1722038254,-0.45,-0.27,0.44,-0.48,0.16,0.08,5223294,0,0
1722038254,0.55,-0.27,0.28,-0.39,0.16,0.08,5223311,0,0
1722038254,-0.45,-0.27,0.56,-0.25,0.16,0.08,5223329,0,0
1722038254,-0.45,-1.27,0.04,-0.55,0.16,0.08,5223346,0,0
1722038254,-0.45,-1.27,-0.06,-0.43,0.16,0.08,5223363,0,0
1722038254,-0.45,-2.27,-0.06,-0.67,0.16,0.08,5223382,0,0
1722038254,-0.45,-1.27,-0.04,-0.11,0.16,0.08,5223399,0,0
1722038254,-1.45,-2.27,-0.02,-0.37,0.16,0.08,5223417,0,0
1722038254,-1.45,-2.27,-0.41,-0.3,0.15,0.08,5223434,0,0
1722038254,-1.45,-2.27,-0.35,-0.2,0.15,0.08,5223451,0,0
1722038254,-1.45,-2.27,-0.23,-0.12,0.15,0.08,5223470,0,0
1722038254,-1.45,-2.27,-0.14,-0.07,0.15,0.08,5223487,0,0
1722038254,-0.45,-1.27,-0.08,0.35,0.14,0.08,5223505,0,0
1722038254,-0.45,-2.27,0.35,-0.08,0.14,0.08,5223522,0,0
1722038254,-0.45,-1.27,0.31,0.27,0.14,0.08,5223539,0,0
1722038254,0.55,-1.27,0.21,0.24,0.14,0.08,5223557,0,0
1722038254,0.55,-1.27,0.52,0.16,0.14,0.08,5223574,0,0
1722038254,0.55,-1.27,0.41,0.1,0.14,0.08,5223592,0,0
1722038254,-0.45,-1.27,0.27,0.06,0.13,0.08,5223609,0,0
1722038254,0.55,-1.27,-0.23,0.03,0.13,0.08,5223627,0,0
1722038254,0.55,-1.27,0.15,0.02,0.13,0.08,5223644,0,0
1722038254,0.55,-1.27,0.17,0.01,0.13,0.07,5223661,0,0
1722038254,0.55,-1.27,0.12,0.01,0.13,0.07,5223679,0,0
1722038254,0.55,-1.27,0.07,0,0.13,0.07,5223696,0,0
1722038255,0.55,-1.27,0.04,0,0.13,0.07,5223714,0,0
1722038255,0.55,-1.27,0.02,0,0.13,0.07,5223730,0,0
1722038255,0.55,-1.27,0.01,0,0.12,0.07,5223747,0,0
1722038255,0.55,-1.27,0.01,0,0.12,0.06,5223765,0,0
1722038255,-0.45,-1.27,0,0,0.12,0.06,5223782,0,0
1722038255,-1.45,-2.27,-0.39,-0.39,0.12,0.06,5223800,0,0
1722038255,-1.45,-2.27,-0.73,-0.34,0.11,0.06,5223818,0,0
1722038255,-1.45,-2.27,-0.56,-0.22,0.11,0.06,5223835,0,0
1722038255,-1.45,-2.27,-0.36,-0.14,0.11,0.06,5223853,0,0
1722038255,-1.45,-2.27,-0.21,-0.08,0.11,0.06,5223870,0,0
1722038255,-2.45,-1.27,-0.12,0.35,0.11,0.06,5223888,0,0
1722038255,-2.45,-1.27,-0.46,0.31,0.11,0.06,5223905,0,0
1722038255,-1.45,-1.27,-0.38,0.21,0.11,0.06,5223922,0,0
1722038255,-0.45,-1.27,0.15,0.13,0.11,0.06,5223940,0,0
1722038255,-0.45,-0.27,0.58,0.47,0.11,0.06,5223957,0,0
1722038255,-0.45,-0.27,0.48,0.38,0.11,0.06,5223976,0,0
1722038255,0.55,-0.27,0.31,0.25,0.11,0.06,5223993,0,0
1722038255,0.55,-0.27,0.58,0.15,0.11,0.06,5224009,0,0
1722038255,0.55,-0.27,0.45,0.09,0.11,0.06,5224027,0,0
1722038255,0.55,-0.27,0.29,0.05,0.11,0.06,5224044,0,0
1722038255,0.55,-0.27,0.17,0.03,0.11,0.06,5224062,0,0
1722038255,0.55,-0.27,0.1,0.02,0.11,0.06,5224079,0,0
1722038255,0.55,-0.27,0.06,0.01,0.11,0.05,5224097,0,0
1722038255,0.55,-0.27,0.03,0,0.11,0.05,5224114,0,0
1722038255,0.55,-0.27,0.02,0,0.11,0.05,5224131,0,0
1722038255,-0.45,-0.27,0.01,0,0.11,0.05,5224149,0,0
1722038255,-0.45,-1.27,-0.39,-0.39,0.11,0.05,5224166,0,0
1722038255,-1.45,-0.27,-0.33,0.06,0.11,0.05,5224184,0,0
1722038255,-1.45,-0.27,-0.62,0.11,0.11,0.05,5224201,0,0
1722038255,-1.45,-1.27,-0.47,-0.3,0.1,0.05,5224218,0,0
1722038255,-1.45,-0.27,-0.3,0.11,0.1,0.05,5224237,0,0
1722038255,-1.45,-0.27,-0.18,0.15,0.1,0.05,5224254,0,0
1722038255,-1.45,-0.27,-0.1,0.11,0.1,0.05,5224272,0,0
1722038255,-1.45,-0.27,-0.06,0.07,0.1,0.05,5224289,0,0
1722038255,-1.45,-0.27,-0.03,0.04,0.1,0.04,5224306,0,0
1722038255,-0.45,-0.27,-0.02,0.02,0.1,0.04,5224324,0,0
1722038255,-0.45,-0.27,0.38,0.01,0.1,0.04,5224341,0,0
1722038255,-0.45,-0.27,0.33,0.01,0.1,0.04,5224359,0,0
1722038255,-0.45,-0.27,0.22,0,0.1,0.04,5224376,0,0
1722038255,0.55,-0.27,0.13,0,0.1,0.04,5224393,0,0
1722038255,0.55,-0.27,0.47,0,0.1,0.04,5224411,0,0
1722038255,0.55,-0.27,0.38,0,0.09,0.04,5224428,0,0
1722038255,0.55,-0.27,0.25,0,0.09,0.04,5224446,0,0
1722038255,0.55,-0.27,0.15,0,0.09,0.04,5224463,0,0
1722038255,0.55,-1.27,0.09,-0.39,0.09,0.04,5224481,0,0
1722038255,-0.45,-1.27,0.05,-0.34,0.09,0.04,5224498,0,0
1722038255,-0.45,-1.27,-0.37,-0.22,0.09,0.03,5224515,0,0
1722038255,-0.45,-1.27,-0.32,-0.14,0.09,0.03,5224533,0,0
1722038255,-0.45,-1.27,-0.21,-0.08,0.09,0.03,5224550,0,0
