timestamp,elapsed Time (ms),button 0,button 1,raw EMG 0,raw EMG 1,bandpass EMG 0,bandpass EMG 1,bandpass EMG envelope 0,bandpass EMG envelope 1
1710023813.424,59504.0,0.0,0.0,-1.22,3.28,-0.07,-0.03,0.01,0.31
1710023813.441,59521.0,0.0,0.0,-1.22,4.28,-0.04,0.37,0.01,0.31
1710023813.461,59538.0,0.0,0.0,-1.22,4.28,-0.02,0.33,0.01,0.3
1710023813.478,59556.0,0.0,0.0,-1.22,4.28,-0.01,0.22,0.01,0.3
1710023813.494,59573.0,0.0,0.0,-1.22,5.28,-0.01,0.53,0.01,0.29
1710023813.51,59590.0,0.0,0.0,-1.22,6.28,0.0,0.81,0.01,0.29
1710023813.531,59608.0,0.0,0.0,-1.22,6.28,0.0,0.61,0.01,0.29
1710023813.547,59625.0,0.0,0.0,-1.22,6.28,0.0,0.38,0.01,0.28
1710023813.564,59642.0,0.0,0.0,-1.22,6.28,0.0,0.23,0.01,0.28
1710023813.58,59659.0,0.0,0.0,-1.22,6.28,0.0,0.13,0.01,0.28
1710023813.597,59676.0,0.0,0.0,-1.22,6.28,0.0,0.08,0.01,0.27
1710023813.617,59694.0,0.0,0.0,-1.22,5.28,0.0,-0.35,0.01,0.27
1710023813.633,59711.0,0.0,0.0,-1.22,5.28,0.0,-0.31,0.01,0.27
1710023813.65,59729.0,0.0,0.0,-1.22,5.28,0.0,-0.21,0.01,0.27
1710023813.666,59746.0,0.0,0.0,-1.22,4.28,0.0,-0.52,0.01,0.26
1710023813.686,59763.0,0.0,0.0,-1.22,4.28,0.0,-0.41,0.01,0.26
1710023813.703,59781.0,0.0,0.0,-1.22,3.28,0.0,-0.66,0.01,0.26
1710023813.719,59798.0,0.0,0.0,-1.22,3.28,0.0,-0.5,0.01,0.26
1710023813.736,59816.0,0.0,0.0,-1.22,3.28,0.0,-0.32,0.01,0.25
1710023813.752,59832.0,0.0,0.0,-1.22,2.28,0.0,-0.58,0.01,0.25
1710023813.772,59849.0,0.0,0.0,-1.22,2.28,0.0,-0.45,0.01,0.25
1710023813.789,59867.0,0.0,0.0,-0.22,2.28,0.39,-0.29,0.01,0.25
1710023813.805,59884.0,0.0,0.0,-0.22,2.28,0.34,-0.17,0.01,0.25
1710023813.822,59902.0,0.0,0.0,-0.22,1.28,0.22,-0.49,0.01,0.25
1710023813.842,59919.0,0.0,0.0,-0.22,1.28,0.14,-0.39,0.01,0.25
1710023813.859,59937.0,0.0,0.0,-0.22,1.28,0.08,-0.26,0.01,0.24
1710023813.875,59954.0,0.0,0.0,-0.22,1.28,0.05,-0.15,0.01,0.24
1710023813.891,59970.0,0.0,0.0,-0.22,1.28,0.03,-0.09,0.01,0.24
1710023813.908,59988.0,0.0,0.0,-0.22,1.28,0.01,-0.05,0.01,0.24
1710023813.928,60005.0,0.0,0.0,-0.22,1.28,0.01,-0.03,0.01,0.23
1710023813.945,60023.0,0.0,0.0,-0.22,1.28,0.0,-0.02,0.01,0.23
1710023813.961,60040.0,0.0,0.0,-0.22,0.28,0.0,-0.4,0.01,0.23
1710023813.977,60057.0,0.0,0.0,-0.22,0.28,0.0,-0.34,0.01,0.22
1710023813.994,60074.0,0.0,0.0,-0.22,0.28,0.0,-0.23,0.01,0.22
1710023814.014,60091.0,0.0,0.0,-0.22,0.28,0.0,-0.14,0.01,0.21
1710023814.031,60109.0,0.0,0.0,-0.22,0.28,0.0,-0.08,0.01,0.21
